project_id,company_id,project_name,start_date,completion_date,project_status,automation_type,robots_deployed,budget_usd,annual_savings_usd,roi_percent,department,implementation_partner,country,industry,employee_hours_saved,ai_enabled,cloud_deployment
PRJ013770,CMP09334,Lambda Accelerator,2016-07-16,,Failed,Claims Processing,21,131887,0,-53.7,Supply Chain,Capgemini,Vietnam,Education,166428,Yes,Yes
PRJ005597,CMP06088,Delta Process Reengineering,2018-01-21,2018-08-21,Completed,Customer Onboarding,199,2861711,2918945,102.0,Customer Onboarding,Infosys,Germany,Manufacturing,99935,Yes,No
PRJ035693,CMP08106,Lambda Optimization Program,2020-03-19,2022-02-19,Completed,Supply Chain,127,1124705,1896253,168.6,Content Moderation,Cyient,Vietnam,Government & Public Sector,141965,Yes,No
PRJ031552,CMP06759,Sigma Efficiency Project,2019-03-06,2019-08-06,Completed,Compliance Monitoring,134,4605299,2173701,47.2,Marketing,TCS,Malaysia,Real Estate,104731,Yes,Yes
PRJ015507,CMP02220,Phoenix Digital Transformation,2024-11-22,,Completed,Email Automation,82,2564951,1998097,77.9,Risk Management,HCL Technologies,Malaysia,Retail & E-Commerce,81750,Yes,Yes
PRJ023709,CMP09936,Omega Workflow Engine,2017-11-18,2018-07-18,Cancelled,Compliance Monitoring,58,2771593,2250534,81.2,Finance,LTIMindtree,Brazil,Mining & Metals,193743,Yes,Yes
PRJ017462,CMP02026,Sigma Optimization Program,2022-08-14,2024-05-14,Completed,Audit Automation,129,4896311,5057889,103.3,Finance,Deloitte,Canada,Education,58040,No,Yes
PRJ046131,CMP02544,Vector Platform,2017-11-19,,Active,Audit Automation,40,3066655,7734104,252.2,IT,Infosys,Canada,Telecommunications,173180,Yes,Yes
PRJ022839,CMP04051,Delta Platform,2022-05-29,2024-04-29,Completed,Supply Chain,80,309443,674586,218.0,Compliance,Deloitte,Brazil,Insurance,23320,Yes,Yes
PRJ033911,CMP08672,Lambda Process Reengineering,2015-05-04,,Active,Supply Chain,22,1931470,2547609,131.9,Customer Onboarding,Cognizant,United States,Insurance,128855,Yes,No
PRJ009476,CMP06807,Vertex Digital Transformation,2025-08-02,,Paused,Supply Chain,167,2124290,4847630,228.2,Audit,LTIMindtree,UAE,Government & Public Sector,101296,No,No
PRJ016065,CMP08754,Omega Accelerator,2015-01-01,2015-11-01,Completed,HR Automation,178,1026360,399254,38.9,Marketing,Capgemini,Australia,Real Estate,78438,No,Yes
PRJ034385,CMP02710,Orion Accelerator,2024-05-09,2024-08-09,Completed,Customer Onboarding,14,2052278,338626,16.5,Procurement,LTIMindtree,Vietnam,Manufacturing,168950,No,No
PRJ033248,CMP03780,Lambda Automation Initiative,2020-02-21,,Active,Customer Onboarding,111,872745,2074515,237.7,Risk Management,Cognizant,UAE,Retail & E-Commerce,58385,Yes,Yes
PRJ039090,CMP08217,Lambda Intelligence Suite,2019-07-22,2020-10-22,Completed,Invoice Processing,104,1839813,5622469,305.6,Customer Service,Tech Mahindra,Vietnam,Mining & Metals,137929,No,No
PRJ048076,CMP02394,Prism Efficiency Project,2024-11-16,,Active,Email Automation,196,1618852,2149835,132.8,Human Resources,Tech Mahindra,Philippines,Pharma & Life Sciences,116509,No,No
PRJ036715,CMP07150,Zenith Digital Transformation,2022-12-19,2023-04-19,Cancelled,Financial Reporting,50,1851707,2099836,113.4,Operations,Cognizant,France,Banking & Finance,23899,Yes,Yes
PRJ014291,CMP05953,Quantum Workflow Engine,2016-11-27,,Paused,Financial Reporting,85,1086737,2295189,211.2,Compliance,Hexaware,Mexico,Energy & Utilities,132198,Yes,No
PRJ010567,CMP03101,Aurora Modernization,2024-05-07,,Active,IT Service Management,38,1517490,3503884,230.9,Risk Management,Capgemini,Brazil,Pharma & Life Sciences,11360,Yes,No
PRJ019678,CMP04267,Quantum Platform,2025-01-24,2025-04-24,Completed,Invoice Processing,39,4265059,11080623,259.8,Procurement,TCS,UAE,Real Estate,3357,No,Yes
PRJ008155,CMP08536,Quantum Efficiency Project,2016-06-05,2017-12-05,Completed,Payroll Processing,68,2670435,5658652,211.9,Human Resources,LTIMindtree,France,Government & Public Sector,80060,Yes,No
PRJ049128,CMP04432,Titan Accelerator,2025-02-18,,Active,Payroll Processing,36,1501699,2075348,138.2,Customer Onboarding,IBM,Canada,Transportation & Logistics,49090,Yes,Yes
PRJ018690,CMP09198,Sentinel Optimization Program,2025-10-28,,Active,Customer Onboarding,169,2725332,4385059,160.9,Content Moderation,Deloitte,Vietnam,Government & Public Sector,156986,No,Yes
PRJ043515,CMP08449,Fusion Digital Transformation,2017-02-20,,Paused,IT Service Management,135,311379,213295,68.5,Audit,Infosys,Malaysia,Retail & E-Commerce,109736,Yes,No
PRJ048073,CMP05892,Apex Workflow Engine,2022-05-06,2022-11-06,Completed,Claims Processing,137,168501,115255,68.4,Legal,Mphasis,South Africa,Telecommunications,86948,No,No
PRJ037722,CMP02404,Sentinel Digital Transformation,2023-04-17,2024-06-17,Completed,Supply Chain,97,463659,1281553,276.4,Finance,Accenture,Japan,Education,5124,No,Yes
PRJ049582,CMP07762,Atlas Automation Initiative,2015-05-06,,Active,Email Automation,34,1772867,349255,19.7,Supply Chain,Cyient,Canada,Banking & Finance,132170,Yes,No
PRJ027276,CMP08911,Horizon Platform,2020-03-18,,Active,Data Entry Automation,73,1058462,970610,91.7,Customer Onboarding,Infosys,India,Insurance,32721,No,No
PRJ013900,CMP06497,Lambda Workflow Engine,2017-06-12,,Active,Financial Reporting,193,967321,680027,70.3,Operations,PwC,Australia,Education,147114,Yes,Yes
PRJ006094,CMP07282,Cobalt Platform,2024-01-12,2025-06-12,Cancelled,Email Automation,70,4691995,13681857,291.6,Supply Chain,PwC,India,Energy & Utilities,63519,No,Yes
PRJ002215,CMP07661,Zenith Workflow Engine,2024-02-22,,Paused,HR Automation,34,1672495,229132,13.7,Supply Chain,Cyient,Japan,Education,150235,No,Yes
PRJ021091,CMP02278,Sentinel Process Reengineering,2015-10-27,,Paused,Data Entry Automation,152,1487091,3656757,245.9,Marketing,TCS,Vietnam,Telecommunications,167393,Yes,No
PRJ015540,CMP06444,Lambda Platform,2024-09-20,2025-08-20,Completed,HR Automation,168,2589522,4891607,188.9,Risk Management,Cognizant,Vietnam,Government & Public Sector,180980,No,Yes
PRJ018083,CMP00518,Fusion Intelligence Suite,2020-05-12,,Active,Audit Automation,103,4504544,2900926,64.4,Risk Management,Mphasis,France,Technology,198578,Yes,Yes
PRJ037893,CMP01938,Atlas Process Reengineering,2015-03-07,,Failed,HR Automation,60,1047077,0,-43.9,Compliance,Accenture,Japan,Retail & E-Commerce,162889,No,Yes
PRJ020685,CMP01404,Eclipse Process Reengineering,2023-06-11,,Paused,Supply Chain,72,3527210,6585301,186.7,Customer Onboarding,Wipro,France,Telecommunications,7247,Yes,Yes
PRJ030794,CMP04833,Apex Modernization,2018-04-09,2019-07-09,Completed,Payroll Processing,97,2051057,3548329,173.0,Marketing,Mphasis,Mexico,Education,47541,No,No
PRJ009232,CMP08774,Vertex Optimization Program,2018-11-20,,Active,HR Automation,167,2871275,2308505,80.4,Supply Chain,Accenture,France,Healthcare,7262,Yes,Yes
PRJ027300,CMP07704,Zenith Efficiency Project,2022-04-03,2022-10-03,Completed,Data Entry Automation,95,418992,1228485,293.2,Customer Onboarding,Capgemini,Malaysia,Retail & E-Commerce,75314,No,Yes
PRJ009142,CMP08542,Delta Efficiency Project,2022-10-01,,Active,Customer Onboarding,86,180896,357993,197.9,Finance,Mphasis,United Kingdom,Real Estate,8423,No,Yes
PRJ030717,CMP00635,Prism Automation Initiative,2017-04-06,2017-08-06,Completed,Supply Chain,2,1189880,289141,24.3,Content Moderation,Deloitte,Netherlands,Healthcare,14522,Yes,No
PRJ011206,CMP02391,Omega Automation Initiative,2021-01-22,2022-07-22,Completed,HR Automation,110,2984933,5763906,193.1,IT,Cyient,Germany,Mining & Metals,31383,Yes,No
PRJ033471,CMP01877,Sentinel Digital Transformation,2022-03-02,2023-06-02,Completed,Supply Chain,166,3155471,6134236,194.4,IT,EY,France,Pharma & Life Sciences,54213,No,No
PRJ037935,CMP02160,Eclipse Workflow Engine,2023-09-15,2024-12-15,Completed,Payroll Processing,145,1652263,609685,36.9,Procurement,Infosys,United States,Insurance,63725,No,No
PRJ037588,CMP07280,Delta Process Reengineering,2015-11-21,,Active,Customer Onboarding,169,2815941,2852548,101.3,Finance,Cognizant,South Africa,Real Estate,75185,No,Yes
PRJ042001,CMP06097,Prism Modernization,2021-03-20,2022-05-20,Completed,Claims Processing,136,453454,1373059,302.8,Customer Service,Tech Mahindra,India,Real Estate,44600,Yes,Yes
PRJ044113,CMP02377,Cobalt Process Reengineering,2023-10-30,2025-03-02,Completed,Customer Onboarding,12,466844,972436,208.3,Marketing,Mphasis,Brazil,Mining & Metals,25001,Yes,No
PRJ049647,CMP07050,Omega Efficiency Project,2022-01-16,,Active,Supply Chain,31,3190216,8725241,273.5,Legal,EY,United States,Energy & Utilities,115007,Yes,Yes
PRJ042352,CMP09825,Prism Optimization Program,2016-01-27,2018-01-27,Completed,Email Automation,20,4651785,12350489,265.5,Human Resources,EY,United States,Manufacturing,179156,Yes,No
PRJ001421,CMP00438,Vector Automation Initiative,2016-04-21,2016-10-21,Completed,Payroll Processing,181,4818361,1874342,38.9,Compliance,Capgemini,Malaysia,Insurance,99639,Yes,Yes
PRJ039086,CMP09169,Vertex Digital Transformation,2017-05-01,,Paused,Email Automation,126,4492754,9115798,202.9,Finance,Mphasis,Singapore,Retail & E-Commerce,199516,Yes,No
PRJ035354,CMP04976,Phoenix Workflow Engine,2019-12-14,2021-01-14,Completed,Invoice Processing,40,2346352,5420073,231.0,Supply Chain,Accenture,Netherlands,Retail & E-Commerce,197195,No,Yes
PRJ035946,CMP00173,Omega Digital Transformation,2024-05-29,,Active,Supply Chain,10,1490404,2752776,184.7,IT,IBM,UAE,Government & Public Sector,27495,Yes,No
PRJ007250,CMP00202,Apex Platform,2015-08-08,,Active,Invoice Processing,85,3108015,8571905,275.8,IT,IBM,Canada,Retail & E-Commerce,53457,No,Yes
PRJ026370,CMP07199,Zenith Platform,2024-12-09,,Active,Data Entry Automation,54,3740699,2367862,63.3,Audit,IBM,Germany,Real Estate,10036,Yes,No
PRJ003068,CMP00160,Lambda Intelligence Suite,2015-09-03,2016-04-03,Cancelled,Supply Chain,158,3159646,461308,14.6,Customer Service,Accenture,Vietnam,Mining & Metals,199369,No,No
PRJ027215,CMP04817,Horizon Process Reengineering,2022-07-20,,Active,Payroll Processing,162,1677351,4186668,249.6,Legal,IBM,United Kingdom,Retail & E-Commerce,105678,Yes,No
PRJ016832,CMP06871,Quantum Efficiency Project,2022-06-26,,Failed,Email Automation,98,3650090,0,-30.6,Content Moderation,Mphasis,South Africa,Telecommunications,44212,No,Yes
PRJ022193,CMP03865,Cobalt Efficiency Project,2018-09-15,2020-03-15,Completed,Financial Reporting,177,3581651,2718473,75.9,Legal,Cognizant,Brazil,Retail & E-Commerce,178649,Yes,Yes
PRJ027681,CMP02978,Apex Platform,2015-09-06,,Active,Data Entry Automation,28,2789124,2616198,93.8,Operations,LTIMindtree,Japan,Education,2826,Yes,No
PRJ006209,CMP07259,Zenith Modernization,2015-09-19,2015-12-19,Completed,Claims Processing,134,1203718,3703840,307.7,Procurement,Wipro,Japan,Transportation & Logistics,64005,Yes,No
PRJ049892,CMP02081,Omega Intelligence Suite,2023-05-03,2023-09-03,Completed,Invoice Processing,16,2582219,7527168,291.5,Human Resources,IBM,Malaysia,Real Estate,29461,No,No
PRJ033057,CMP06207,Fusion Modernization,2020-03-07,2021-10-07,Completed,HR Automation,131,1589982,3060715,192.5,Operations,HCL Technologies,South Africa,Technology,11013,Yes,No
PRJ028807,CMP03199,Vector Automation Initiative,2023-03-26,2023-08-26,Completed,Customer Onboarding,147,4667885,10549420,226.0,Risk Management,Capgemini,United States,Retail & E-Commerce,142141,No,No
PRJ033657,CMP05526,Prism Efficiency Project,2020-02-26,,Active,Data Entry Automation,36,3137685,4618672,147.2,Compliance,Capgemini,France,Manufacturing,75476,No,No
PRJ048934,CMP02529,Eclipse Modernization,2025-03-10,,Failed,Supply Chain,180,1852812,0,-55.9,Audit,Wipro,Brazil,Retail & E-Commerce,50766,Yes,Yes
PRJ046924,CMP07220,Fusion Efficiency Project,2017-08-25,,Failed,Financial Reporting,44,1249002,0,-92.2,Content Moderation,Wipro,Japan,Government & Public Sector,180252,Yes,No
PRJ038319,CMP05104,Phoenix Automation Initiative,2021-06-06,,Active,Supply Chain,20,2895705,729718,25.2,Marketing,TCS,United Kingdom,Manufacturing,19173,No,No
PRJ042436,CMP04227,Prism Digital Transformation,2024-05-23,2025-08-23,Completed,Email Automation,194,1067510,2440328,228.6,IT,Infosys,Germany,Technology,4292,No,Yes
PRJ034104,CMP00408,Phoenix Efficiency Project,2017-05-24,,Paused,Invoice Processing,196,1883021,2557143,135.8,Content Moderation,Cyient,Vietnam,Technology,92641,No,No
PRJ026869,CMP01519,Horizon Automation Initiative,2022-05-14,2023-07-14,Completed,Data Entry Automation,195,3025253,6153365,203.4,Supply Chain,Tech Mahindra,United Kingdom,Energy & Utilities,21454,No,Yes
PRJ034926,CMP06344,Orion Platform,2024-11-03,,Paused,Customer Onboarding,169,3032675,1431423,47.2,Supply Chain,Infosys,Brazil,Retail & E-Commerce,145129,Yes,Yes
PRJ042629,CMP07454,Eclipse Efficiency Project,2025-02-15,,Active,Email Automation,105,2867553,6778895,236.4,Customer Service,EY,Germany,Banking & Finance,24389,Yes,No
PRJ031174,CMP05647,Quantum Optimization Program,2024-04-17,,Active,IT Service Management,32,2302608,4540743,197.2,Legal,EY,Australia,Banking & Finance,54010,Yes,No
PRJ048872,CMP01134,Apex Digital Transformation,2025-10-11,,Completed,Customer Onboarding,140,3306269,439734,13.3,Finance,Tech Mahindra,Australia,Transportation & Logistics,130589,Yes,No
PRJ039370,CMP05268,Fusion Accelerator,2024-04-27,,Paused,Claims Processing,193,4063243,5855133,144.1,Procurement,EY,Germany,Education,140085,No,No
PRJ040904,CMP03638,Apex Workflow Engine,2025-12-24,,Active,Payroll Processing,76,1248891,1730963,138.6,IT,TCS,Malaysia,Pharma & Life Sciences,44466,Yes,No
PRJ024511,CMP06017,Atlas Automation Initiative,2016-08-31,,Paused,Audit Automation,32,2740297,5636791,205.7,Human Resources,EY,Australia,Healthcare,90662,No,Yes
PRJ000209,CMP02505,Vertex Optimization Program,2022-08-26,,Active,Email Automation,154,569658,1498201,263.0,Supply Chain,EY,Singapore,Transportation & Logistics,172430,Yes,No
PRJ008929,CMP09166,Zenith Workflow Engine,2016-06-30,,Active,Email Automation,105,3123985,4017445,128.6,Legal,Capgemini,Singapore,Transportation & Logistics,124728,Yes,Yes
PRJ008534,CMP02892,Aurora Modernization,2025-01-19,,Active,HR Automation,2,2768044,6939486,250.7,Customer Onboarding,HCL Technologies,United States,Energy & Utilities,152528,No,Yes
PRJ017614,CMP05010,Vector Platform,2020-11-25,,Paused,Supply Chain,143,1258328,1000371,79.5,Operations,TCS,Philippines,Retail & E-Commerce,167702,Yes,No
PRJ017213,CMP07579,Titan Automation Initiative,2021-12-20,,Failed,Invoice Processing,145,3040825,0,-95.9,Finance,Hexaware,Singapore,Education,55940,No,No
PRJ042273,CMP00181,Lambda Digital Transformation,2017-11-13,2019-09-13,Completed,Payroll Processing,112,1410259,4178597,296.3,IT,LTIMindtree,Malaysia,Mining & Metals,198118,No,No
PRJ043673,CMP01013,Sentinel Accelerator,2016-12-08,2018-12-08,Cancelled,Claims Processing,47,41123,62754,152.6,Content Moderation,Deloitte,Germany,Real Estate,62037,No,No
PRJ021847,CMP03117,Zenith Accelerator,2016-10-04,,Active,Email Automation,142,4919580,7285898,148.1,Customer Onboarding,HCL Technologies,Canada,Pharma & Life Sciences,54090,Yes,Yes
PRJ020112,CMP04167,Sentinel Accelerator,2017-04-27,,Paused,IT Service Management,102,4831553,11682695,241.8,Marketing,Hexaware,United Kingdom,Government & Public Sector,155532,Yes,Yes
PRJ007867,CMP09667,Orion Modernization,2023-09-16,,Active,Customer Onboarding,100,2376735,2231754,93.9,Supply Chain,Infosys,Mexico,Real Estate,74766,No,Yes
PRJ003738,CMP05100,Apex Process Reengineering,2023-07-29,,Paused,Financial Reporting,129,1187884,905168,76.2,Supply Chain,PwC,South Africa,Retail & E-Commerce,12822,Yes,Yes
PRJ026472,CMP01098,Phoenix Workflow Engine,2018-03-19,,Active,Data Entry Automation,158,42151,74776,177.4,Audit,Cognizant,UAE,Technology,143652,Yes,No
PRJ044779,CMP09651,Omega Modernization,2018-12-25,2020-10-25,Completed,Compliance Monitoring,64,372555,417634,112.1,Human Resources,TCS,Japan,Retail & E-Commerce,150700,No,Yes
PRJ016955,CMP06493,Nexus Modernization,2018-04-30,2020-01-30,Cancelled,Claims Processing,194,605912,1672923,276.1,Customer Service,Tech Mahindra,South Africa,Retail & E-Commerce,136546,No,No
PRJ018285,CMP03338,Aurora Workflow Engine,2021-09-18,2022-10-18,Completed,Financial Reporting,88,4371191,11474376,262.5,Operations,HCL Technologies,Germany,Real Estate,175564,No,Yes
PRJ004283,CMP03244,Zenith Workflow Engine,2021-12-26,2023-10-26,Completed,HR Automation,34,3759126,2747921,73.1,Supply Chain,Infosys,Australia,Insurance,81771,No,No
PRJ011961,CMP07097,Eclipse Digital Transformation,2018-06-08,2019-01-08,Completed,HR Automation,53,3190005,985712,30.9,Human Resources,Infosys,UAE,Real Estate,171622,No,No
PRJ036719,CMP08233,Apex Platform,2019-07-21,,Active,HR Automation,35,1885887,4886333,259.1,IT,IBM,France,Healthcare,56455,Yes,Yes
PRJ001185,CMP03142,Quantum Accelerator,2025-03-06,,Failed,Claims Processing,168,4989054,0,-96.7,Risk Management,TCS,Brazil,Transportation & Logistics,149989,No,Yes
PRJ007611,CMP08317,Sigma Accelerator,2015-06-05,2017-02-05,Completed,Customer Onboarding,104,4007212,10815465,269.9,IT,Cyient,Mexico,Retail & E-Commerce,134323,Yes,No
PRJ000551,CMP02866,Atlas Platform,2025-04-10,,Paused,Email Automation,169,3171333,7550944,238.1,Human Resources,Wipro,Canada,Technology,33487,Yes,No
PRJ028550,CMP05592,Fusion Automation Initiative,2015-11-02,2017-11-02,Completed,Supply Chain,141,4935645,14742772,298.7,Marketing,EY,United States,Education,32800,No,Yes
PRJ026159,CMP09940,Sigma Intelligence Suite,2018-08-21,2020-04-21,Completed,Claims Processing,74,2522123,1757920,69.7,Risk Management,Cyient,Vietnam,Insurance,124041,No,No
PRJ042210,CMP04597,Sigma Process Reengineering,2019-10-04,2021-04-04,Completed,Audit Automation,51,2411283,4489809,186.2,Human Resources,Wipro,Netherlands,Banking & Finance,105613,No,Yes
PRJ025712,CMP03800,Nexus Workflow Engine,2020-12-08,,Failed,Financial Reporting,151,3376369,0,-88.1,Legal,LTIMindtree,France,Telecommunications,168452,No,No
PRJ035260,CMP08203,Zenith Accelerator,2019-06-13,,Active,Financial Reporting,104,4435164,514479,11.6,Operations,Cyient,India,Mining & Metals,31123,Yes,Yes
PRJ030650,CMP02574,Zenith Modernization,2015-02-04,2016-09-04,Completed,Claims Processing,124,1450455,1301058,89.7,Audit,PwC,United Kingdom,Manufacturing,62272,Yes,No
PRJ045321,CMP00092,Titan Digital Transformation,2023-12-23,2024-04-23,Completed,Invoice Processing,132,3761117,1474358,39.2,Content Moderation,EY,Australia,Manufacturing,48668,Yes,No
PRJ005668,CMP01645,Vertex Intelligence Suite,2021-04-17,,Active,Customer Onboarding,172,2753818,8093471,293.9,Compliance,EY,South Africa,Real Estate,74932,Yes,Yes
PRJ013338,CMP00570,Delta Optimization Program,2021-09-30,,Active,Data Entry Automation,34,1218523,2081237,170.8,Content Moderation,Deloitte,Canada,Education,194741,No,No
PRJ041170,CMP02675,Delta Workflow Engine,2016-06-20,2017-05-20,Completed,HR Automation,30,3430009,8935173,260.5,Legal,TCS,UAE,Insurance,6050,No,Yes
PRJ013390,CMP03530,Delta Digital Transformation,2016-03-23,,Active,IT Service Management,22,3484853,3125913,89.7,Customer Service,Capgemini,South Africa,Banking & Finance,162441,No,Yes
